年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,3,1,0,8,臺中市,中區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,8,19,3,10,1,1,B03,7,1,1,8,2,1,,19,19,1,4,5,B03,120.683362,24.141921,2
2021,3,1,0,21,臺中市,中區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,43,,1,21,,B03,120.676305,24.145924,3
2021,3,1,0,42,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,38,,1,22,,B03,120.6506,24.1564,3
2021,3,1,1,0,臺中市,西區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,5,5,5,2,12,19,3,10,3,4,B03,7,1,1,8,2,6,,19,19,1,21,8,B03,120.670368,24.137962,2
2021,3,1,1,8,臺中市,梧棲區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,12,,B03,120.55774,24.256981,3
2021,3,1,1,53,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B02,,,1,,1,,,6,,1,22,,B02,120.678788,24.151015,3
2021,3,1,2,11,臺中市,南區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,,,,7,,10,,,43,,2,,,,120.669539,24.118328,3
2021,3,1,2,18,臺中市,東區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,3,,1,22,,C03,120.688111,24.136498,3
2021,3,1,3,29,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,3,,2,,,23,23,1,21,,B03,120.717207,24.148153,3
2021,3,1,5,12,臺中市,豐原區,0,0,0,8,,,60,,,,,,,,,,,,,,,,,,,,A02,,,1,,2,,,16,,1,10,,A02,120.737052,24.255933,3
2021,3,1,7,0,臺中市,沙鹿區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,2,1,10,5,5,2,12,23,2,1,1,1,C03,7,9,6,10,8,12,,23,23,1,9,5,C03,120.556135,24.220955,2
2021,3,1,7,27,臺中市,北區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,8,,6,6,1,21,8,B03,120.693762,24.159391,2
2021,3,1,7,50,臺中市,梧棲區,0,0,0,8,,,70,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,21,,B03,120.531108,24.253061,3
2021,3,1,7,53,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,11,,,42,,1,,,B03,120.66471,24.16761,3
2021,3,1,8,2,臺中市,大甲區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,5,5,5,1,12,23,2,1,1,1,C03,7,9,3,18,2,14,,43,23,1,21,8,C03,120.617335,24.346909,2
2021,3,1,8,10,臺中市,潭子區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,5,5,1,16,6,3,10,1,1,B03,7,5,1,8,2,2,,6,6,1,22,8,B03,120.674554,24.203484,2
2021,3,1,8,10,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,A11,,,1,,1,,,23,,1,,,A11,120.656588,24.200255,3
2021,3,1,8,11,臺中市,西屯區,0,0,0,8,,,80,,,,,,,,,,,,,,,43,,,,,B03,,,8,,10,,,43,43,1,,,B03,120.643348,24.19355,3
2021,3,1,8,14,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,43,,1,4,,B03,120.663333,24.170833,3
2021,3,1,8,17,臺中市,大肚區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,1,16,26,2,9,1,1,C03,7,11,1,10,2,12,,26,26,1,19,8,C03,120.545253,24.151536,2
2021,3,1,8,27,臺中市,石岡區,0,0,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,3,5,1,16,23,3,10,3,1,G03,7,9,8,,5,15,,23,23,1,22,9,G03,120.809699,24.268468,3
2021,3,1,8,38,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,3,10,3,4,B03,7,9,1,8,2,7,,6,6,1,21,8,B03,120.642656,24.190729,2
2021,3,1,8,46,臺中市,龍井區,0,1,0,8,1,5,30,5,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,7,1,1,C03,7,9,1,10,2,11,,6,6,1,21,8,C03,120.508911,24.199708,2
2021,3,1,8,46,臺中市,豐原區,0,2,0,8,1,5,50,5,9,1,5,4,5,7,1,1,5,5,5,2,16,6,2,9,3,4,C03,7,5,1,10,2,11,,6,6,1,22,8,C03,120.726063,24.24247,2
2021,3,1,8,52,臺中市,南屯區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,2,1,10,5,5,2,12,23,2,9,1,1,C03,7,5,1,10,2,15,,26,23,1,22,1,C03,120.624061,24.152288,2
2021,3,1,9,0,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,18,,,,,B03,,,1,,2,,,18,18,,20,,B03,120.565106,24.244187,3
2021,3,1,9,5,臺中市,西屯區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,4,5,2,12,7,3,10,3,4,B03,7,7,1,8,2,4,,7,7,1,21,8,B03,120.625776,24.198463,2
2021,3,1,9,8,臺中市,南屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,12,,1,,,B12,120.626847,24.112674,4
2021,3,1,9,10,臺中市,沙鹿區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,9,4,8,2,14,,44,6,1,20,9,C03,120.557728,24.232989,2
2021,3,1,9,40,臺中市,東勢區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,11,6,3,10,1,1,B12,7,5,1,8,2,1,,6,6,1,21,8,B12,120.833136,24.252305,2
2021,3,1,9,45,臺中市,沙鹿區,0,1,0,8,1,5,40,14,11,1,5,4,5,7,4,4,5,5,5,2,18,13,2,6,1,1,C03,7,9,1,10,2,12,,13,13,1,18,5,C03,120.58229,24.250343,2
2021,3,1,9,50,臺中市,和平區,0,0,0,8,1,2,40,14,9,1,5,4,4,7,4,4,5,2,5,1,13,42,,,,,A12,,,1,,1,,,42,42,1,22,,A12,121.262319,24.276128,3
2021,3,1,10,7,臺中市,南屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,22,8,C03,120.641689,24.149871,2
2021,3,1,10,7,臺中市,沙鹿區,0,2,0,8,1,5,50,14,8,1,5,4,5,7,4,4,4,3,4,2,17,40,3,10,1,1,B03,7,15,1,8,2,2,,40,40,1,5,8,B03,120.558973,24.2351,2
2021,3,1,10,9,臺中市,北區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,2,1,2,4,5,2,16,19,3,10,1,1,C04,7,9,1,10,2,11,,44,19,1,22,8,C04,120.685355,24.163153,2
2021,3,1,10,15,臺中市,大雅區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,9,4,4,1,17,6,3,10,1,1,B12,7,8,1,8,2,5,,6,6,1,22,9,B12,120.64334,24.22831,2
2021,3,1,10,20,臺中市,清水區,0,2,0,8,1,5,50,11,9,1,2,4,5,7,4,4,4,5,5,1,18,23,2,8,1,1,C03,7,9,1,10,2,14,,23,23,1,5,5,C03,120.576515,24.262693,2
2021,3,1,10,26,臺中市,南屯區,0,0,0,,,,,,,,,,,,,,,,,,,43,,,,,B03,,,1,,1,,,43,43,1,22,,B03,120.624322,24.152213,3
2021,3,1,10,30,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,19,,1,,,B03,120.695061,24.136935,3
2021,3,1,10,30,臺中市,清水區,0,1,0,8,1,5,60,4,1,1,5,4,5,7,1,1,10,5,5,1,15,25,2,9,3,4,C03,7,9,1,10,2,12,,25,25,1,21,8,C03,120.552072,24.293758,2
2021,3,1,10,38,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,26,,1,,,B03,120.648168,24.196061,3
2021,3,1,10,38,臺中市,后里區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,14,,6,6,1,22,8,C03,120.707961,24.293,2
2021,3,1,10,45,臺中市,西屯區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,8,5,5,2,16,6,2,9,1,4,C03,7,6,1,10,2,11,,6,6,1,4,8,C03,120.621883,24.201841,2
2021,3,1,10,52,臺中市,北屯區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,22,8,C03,120.694323,24.187986,2
2021,3,1,10,55,臺中市,后里區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,38,,1,,,B03,120.695524,24.323054,3
2021,3,1,11,0,臺中市,新社區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,1,,1,21,,C03,120.884663,24.123111,3
2021,3,1,11,2,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,2,15,6,2,8,1,1,C03,7,9,1,10,2,12,,6,6,1,21,8,C03,120.678737,24.158117,2
2021,3,1,11,12,臺中市,南屯區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,1,1,5,5,5,2,15,25,2,9,1,1,C03,7,9,1,10,2,11,,25,25,1,12,8,C03,120.647675,24.148955,2
2021,3,1,11,20,臺中市,大雅區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,26,3,10,1,1,B03,7,9,1,8,2,7,,44,26,1,21,8,B03,120.653531,24.221132,2
2021,3,1,11,20,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,17,,1,22,,B12,120.719698,24.258083,3
2021,3,1,11,25,臺中市,西區,0,3,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,14,,6,6,1,22,8,C03,120.669114,24.14455,2
2021,3,1,11,28,臺中市,南屯區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,5,4,5,2,12,7,3,10,1,1,B03,7,8,1,8,2,2,,7,7,1,22,8,B03,120.649994,24.140288,2
2021,3,1,11,31,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,22,,B03,120.694263,24.248346,3
2021,3,1,11,40,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,3,10,1,1,B03,7,9,1,8,2,8,,44,25,1,22,9,B03,120.652993,24.146718,2
2021,3,1,11,40,臺中市,大里區,0,1,0,8,1,5,50,11,9,1,5,4,5,7,4,4,5,4,5,1,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,5,8,C03,120.690796,24.091093,2
2021,3,1,11,40,臺中市,清水區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,,,,B12,120.576468,24.271511,3
2021,3,1,11,42,臺中市,東區,0,0,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,16,,,,,,B12,,,1,,2,,,23,,1,5,,B12,120.704648,24.144322,3
2021,3,1,11,45,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,19,,1,,,B12,120.656747,24.201001,3
2021,3,1,11,47,臺中市,新社區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,22,,B03,120.793855,24.205786,3
2021,3,1,11,49,臺中市,豐原區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,2,12,7,3,10,1,1,B02,7,7,1,10,2,8,,7,7,1,19,5,B02,120.733716,24.254341,2
2021,3,1,11,54,臺中市,南屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,11,14,6,6,1,22,8,C03,120.620547,24.116135,2
2021,3,1,12,2,臺中市,太平區,0,1,0,8,1,5,50,14,12,1,5,4,5,7,4,4,9,5,4,1,16,6,3,10,1,1,B03,7,11,1,8,2,6,,6,6,1,9,8,B03,120.701918,24.151961,2
2021,3,1,12,5,臺中市,清水區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,1,17,23,3,10,3,4,B03,7,9,1,8,2,1,,23,23,1,5,8,B03,120.574493,24.269271,2
2021,3,1,12,5,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,22,,B03,120.696501,24.248616,3
2021,3,1,12,7,臺中市,龍井區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,21,1,C03,120.575904,24.182591,2
2021,3,1,12,8,臺中市,潭子區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,10,4,5,1,16,9,2,9,1,1,C03,7,9,1,10,2,11,,23,9,1,21,8,C03,120.676829,24.208815,2
2021,3,1,12,10,臺中市,霧峰區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,,,B03,120.68559,24.044385,3
2021,3,1,12,11,臺中市,烏日區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,A41,,,1,,2,,,5,,1,10,,A41,120.62291,24.088556,3
2021,3,1,12,12,臺中市,清水區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,3,4,B12,7,9,1,8,2,6,,6,6,1,21,8,B12,120.548703,24.274877,2
2021,3,1,12,15,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,42,,1,6,,B03,120.559318,24.235726,3
2021,3,1,12,23,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,21,,B03,120.685623,24.103066,3
2021,3,1,12,25,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,3,4,5,2,13,16,3,10,1,1,B01,7,9,1,4,2,1,,16,16,1,21,8,B01,120.640801,24.167321,2
2021,3,1,12,27,臺中市,西屯區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,4,C03,7,9,1,10,2,12,,6,6,1,4,8,C03,120.622226,24.201728,2
2021,3,1,12,28,臺中市,大里區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,,,B03,120.689746,24.116702,3
2021,3,1,12,47,臺中市,北屯區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,4,4,5,5,4,2,17,6,2,9,3,4,C03,7,6,1,10,2,14,,6,6,1,21,8,C03,120.6628,24.197522,2
2021,3,1,12,58,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,3,,,23,,1,,,B03,120.648126,24.14894,3
2021,3,1,13,5,臺中市,大里區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,1,1,5,5,4,1,17,16,2,9,1,1,C03,7,6,1,10,2,12,,16,16,1,21,8,C03,120.681044,24.114997,2
2021,3,1,13,7,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,10,,1,,,C03,120.694052,24.111156,3
2021,3,1,13,12,臺中市,烏日區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,,,B03,120.641495,24.106266,3
2021,3,1,13,16,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B12,,,1,6,1,,,12,12,1,,,B12,120.65174,24.146621,3
2021,3,1,13,24,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,12,,1,21,,B12,120.732981,24.164428,3
2021,3,1,13,37,臺中市,沙鹿區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,,,B03,120.562313,24.252403,3
2021,3,1,13,40,臺中市,潭子區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,,21,,B03,120.694007,24.223728,3
2021,3,1,13,51,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,3,4,B03,7,6,1,8,2,2,,6,6,1,21,8,B03,120.625018,24.182093,2
2021,3,1,14,15,臺中市,清水區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,1,4,1,1,16,25,2,9,1,1,C03,7,5,1,10,2,12,,25,25,1,21,8,C03,120.553488,24.275447,2
2021,3,1,14,23,臺中市,大里區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,21,,B12,120.665389,24.098858,3
2021,3,1,14,25,臺中市,豐原區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,22,,B03,120.717423,24.250019,3
2021,3,1,14,27,臺中市,南屯區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,C03,7,6,1,10,2,13,,6,6,1,22,8,C03,120.612254,24.150463,2
2021,3,1,14,36,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,1,4,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,5,,6,6,1,22,8,B03,120.646752,24.143713,2
2021,3,1,14,37,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.722938,24.257247,3
2021,3,1,14,40,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,14,12,3,10,3,4,B03,7,2,1,8,2,3,,12,12,1,12,8,B03,120.638294,24.141415,2
2021,3,1,14,40,臺中市,新社區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B02,,,1,,2,,,23,,1,22,,B02,120.820866,24.173051,3
2021,3,1,14,43,臺中市,中區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,10,1,,,23,23,1,,,C03,120.686925,24.137288,3
2021,3,1,14,58,臺中市,龍井區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,21,8,C03,120.594056,24.19082,2
2021,3,1,15,0,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,17,,1,4,,B03,120.633454,24.1737,3
2021,3,1,15,10,臺中市,大里區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,5,,B03,120.693286,24.085505,3
2021,3,1,15,11,臺中市,豐原區,0,1,0,8,1,5,50,5,9,1,5,4,5,7,1,1,5,5,5,2,15,26,2,9,3,4,F03,7,9,8,20,2,16,,26,26,1,22,8,F03,120.718881,24.24493,2
2021,3,1,15,22,臺中市,外埔區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,6,,1,,,B03,120.619773,24.331563,3
2021,3,1,15,24,臺中市,西屯區,0,1,0,8,1,5,40,14,7,1,5,4,5,7,4,4,3,4,4,2,16,7,2,9,1,1,C03,7,7,1,10,2,14,,7,7,1,4,8,C03,120.660823,24.172207,2
2021,3,1,15,31,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,22,,B12,120.72912,24.276284,3
2021,3,1,15,32,臺中市,北屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,11,10,3,10,1,1,B03,7,11,1,8,2,8,,10,10,1,21,8,B03,120.686617,24.178952,2
2021,3,1,15,32,臺中市,石岡區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,1,12,17,3,10,1,1,B03,7,9,1,8,2,2,,17,17,1,22,8,B03,120.77224,24.277614,2
2021,3,1,15,35,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,3,,1,,,23,23,1,,,B03,120.720381,24.163098,3
2021,3,1,15,35,臺中市,大里區,0,1,0,8,1,5,60,3,1,1,5,4,5,7,4,4,10,5,5,2,16,7,3,10,1,1,B12,7,7,1,8,2,8,,7,7,1,10,3,B12,120.69645,24.065588,2
2021,3,1,15,48,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,17,,1,22,,B03,120.638186,24.160204,3
2021,3,1,15,54,臺中市,大里區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.703466,24.106605,3
2021,3,1,15,55,臺中市,南區,0,1,0,8,1,5,50,14,20,1,5,4,5,7,4,4,10,5,5,2,17,42,2,8,1,1,C03,7,15,1,10,2,11,,42,42,1,22,8,C03,120.661844,24.116894,2
2021,3,1,15,59,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,2,,2,,,16,16,,22,,C03,120.720798,24.268394,3
2021,3,1,16,0,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B01,,,1,,1,,,42,,1,22,,B01,120.641465,24.168471,3
2021,3,1,16,3,臺中市,中區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,10,5,5,2,14,12,3,10,1,1,B03,7,2,1,8,2,7,,12,12,1,4,5,B03,120.683227,24.142538,2
2021,3,1,16,4,臺中市,西屯區,0,2,0,8,1,5,50,14,7,1,5,4,5,7,4,4,7,5,3,2,16,10,3,10,1,1,B03,7,11,1,8,2,4,,10,10,1,4,8,B03,120.639896,24.175208,2
2021,3,1,16,11,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,16,4,3,10,3,4,C03,7,15,1,10,2,14,,4,4,1,22,8,C03,120.619323,24.185343,2
2021,3,1,16,24,臺中市,西屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,4,3,5,2,16,6,2,9,1,1,F03,7,9,8,20,2,16,,6,6,1,21,8,F03,120.587997,24.177708,2
2021,3,1,16,37,臺中市,豐原區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,17,,,,,B03,120.731736,24.262475,3
2021,3,1,16,38,臺中市,龍井區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,,,B12,120.592806,24.183133,3
2021,3,1,16,39,臺中市,北區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,,,B03,120.680706,24.159,3
2021,3,1,16,40,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,7,2,8,1,1,C03,7,9,1,10,2,14,,44,7,1,4,8,C03,120.644219,24.171305,2
2021,3,1,16,46,臺中市,烏日區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,16,9,3,10,1,1,B03,7,6,1,8,2,2,,9,9,1,20,8,B03,120.607529,24.111858,2
2021,3,1,16,48,臺中市,北屯區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,2,17,26,3,10,3,4,B03,7,11,1,8,2,7,,26,26,1,21,8,B03,120.69425,24.166224,2
2021,3,1,16,58,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,C03,7,9,1,10,11,15,,6,6,2,22,9,C03,120.671741,24.168722,2
2021,3,1,17,0,臺中市,西區,0,1,0,8,1,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,12,40,3,10,1,1,B03,7,13,1,8,2,4,,40,40,1,5,8,B03,120.658002,24.135487,2
2021,3,1,17,3,臺中市,霧峰區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,44,,1,22,,B03,120.704578,24.055698,3
2021,3,1,17,5,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,12,,1,4,,B03,120.627597,24.159001,3
2021,3,1,17,5,臺中市,烏日區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,22,,B03,120.612818,24.121799,3
2021,3,1,17,10,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,6,3,10,1,1,B12,7,5,1,8,2,2,,6,6,1,21,8,B12,120.647005,24.153951,2
2021,3,1,17,11,臺中市,南區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,22,,B03,120.676746,24.131248,3
2021,3,1,17,13,臺中市,龍井區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,12,,1,,,B03,120.568663,24.175263,3
2021,3,1,17,20,臺中市,大甲區,0,2,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,16,8,2,8,1,1,C03,7,5,1,10,2,13,,8,8,1,19,7,C03,120.62087,24.34271,2
2021,3,1,17,24,臺中市,南屯區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,2,16,26,3,10,3,4,B03,7,11,1,8,2,7,,26,26,1,21,8,B03,120.633805,24.147346,2
2021,3,1,17,35,臺中市,北屯區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,3,23,2,9,4,5,H01,8,16,8,20,10,16,,53,23,1,21,8,H01,120.699112,24.185791,2
2021,3,1,17,35,臺中市,大里區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,4,2,16,19,3,10,1,1,B03,7,1,1,8,2,5,,19,19,1,22,8,B03,120.677085,24.099825,2
2021,3,1,17,38,臺中市,北屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,4,2,16,10,3,10,1,1,B03,7,11,1,8,2,7,,10,10,1,21,8,B03,120.71934,24.170086,2
2021,3,1,17,40,臺中市,南區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,,,B03,120.682953,24.131468,3
2021,3,1,17,41,臺中市,北區,0,0,0,8,1,5,50,4,2,1,5,4,5,7,4,4,10,5,5,2,11,,,,,,C03,,,1,,2,,,6,,1,22,,C03,120.695915,24.153159,3
2021,3,1,17,45,臺中市,大里區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,12,,B12,120.689518,24.076173,3
2021,3,1,17,50,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,F01,,,8,,2,,,6,,1,20,,F01,120.708785,24.086824,4
