factor_id,near_id,weight,color,level
9,326,851,#0066cc,第2層
9,327,313,#0066cc,第2層
9,328,45,#0066cc,第2層
9,329,891,#0066cc,第2層
9,330,11,#0066cc,第2層
9,332,32,#0066cc,第2層
9,333,26,#0066cc,第2層
9,334,3271,#0066cc,第2層
9,336,872,#0066cc,第2層
9,337,876,#0066cc,第2層
9,338,35,#0066cc,第2層
9,341,18,#0066cc,第2層
9,342,6,#0066cc,第2層
9,343,1,#0066cc,第2層
9,345,2,#0066cc,第2層
9,346,3,#0066cc,第2層
9,348,2,#0066cc,第2層
9,349,8,#0066cc,第2層
9,350,31,#0066cc,第2層
9,352,147,#0066cc,第2層
9,353,165,#0066cc,第2層
9,354,1591,#0066cc,第2層
9,357,321,#0066cc,第2層
9,358,6,#0066cc,第2層
9,361,5,#0066cc,第2層
9,362,6,#0066cc,第2層
9,363,108,#0066cc,第2層
9,365,72,#0066cc,第2層
9,366,14,#0066cc,第2層
9,367,13,#0066cc,第2層
9,368,4,#0066cc,第2層
9,370,1,#0066cc,第2層
9,373,16,#0066cc,第2層
9,374,4257,#0066cc,第2層
9,376,1,#0066cc,第2層
9,379,1,#0066cc,第2層
9,382,10,#0066cc,第2層
9,383,563,#0066cc,第2層
9,384,469,#0066cc,第2層
9,385,342,#0066cc,第2層
2,11,2,#699c4c,第1層
11,13,2,#0066cc,第2層
11,14,2,#0066cc,第2層
11,15,3,#0066cc,第2層
11,16,1,#0066cc,第2層
11,17,4986,#0066cc,第2層
11,18,9,#0066cc,第2層
11,19,18,#0066cc,第2層
11,83,1,#0066cc,第2層
11,84,85,#0066cc,第2層
11,85,7,#0066cc,第2層
11,86,7,#0066cc,第2層
11,87,1748,#0066cc,第2層
11,92,965,#0066cc,第2層
11,93,1950,#0066cc,第2層
11,94,235,#0066cc,第2層
11,95,1,#0066cc,第2層
11,96,1,#0066cc,第2層
11,97,9,#0066cc,第2層
11,98,1,#0066cc,第2層
11,99,2449,#0066cc,第2層
11,100,1,#0066cc,第2層
11,101,11,#0066cc,第2層
11,102,30,#0066cc,第2層
11,103,43,#0066cc,第2層
11,104,1,#0066cc,第2層
11,106,3,#0066cc,第2層
11,107,1,#0066cc,第2層
11,108,43,#0066cc,第2層
11,109,7,#0066cc,第2層
11,110,462,#0066cc,第2層
11,111,15,#0066cc,第2層
11,112,16,#0066cc,第2層
11,114,9,#0066cc,第2層
11,115,24,#0066cc,第2層
11,116,5,#0066cc,第2層
11,117,1,#0066cc,第2層
11,118,431,#0066cc,第2層
11,119,385,#0066cc,第2層
11,120,1072,#0066cc,第2層
11,126,4990,#0066cc,第2層
11,127,7,#0066cc,第2層
11,128,7,#0066cc,第2層
11,130,6,#0066cc,第2層
11,131,4,#0066cc,第2層
11,132,2,#0066cc,第2層
11,133,3,#0066cc,第2層
11,134,404,#0066cc,第2層
11,135,4597,#0066cc,第2層
11,136,2,#0066cc,第2層
11,137,8,#0066cc,第2層
11,138,16,#0066cc,第2層
11,139,4983,#0066cc,第2層
11,145,19,#0066cc,第2層
11,146,3,#0066cc,第2層
11,147,43,#0066cc,第2層
11,149,4945,#0066cc,第2層
11,150,11,#0066cc,第2層
11,151,7,#0066cc,第2層
11,152,10,#0066cc,第2層
11,153,3,#0066cc,第2層
11,154,42,#0066cc,第2層
11,156,4937,#0066cc,第2層
11,157,1421,#0066cc,第2層
11,158,520,#0066cc,第2層
11,159,278,#0066cc,第2層
11,161,2209,#0066cc,第2層
11,162,4,#0066cc,第2層
11,163,6,#0066cc,第2層
11,164,2791,#0066cc,第2層
11,165,828,#0066cc,第2層
11,166,2223,#0066cc,第2層
11,167,24,#0066cc,第2層
11,168,125,#0066cc,第2層
11,169,112,#0066cc,第2層
11,170,1311,#0066cc,第2層
