factor_id,near_id,weight,color,level
167,182,1,#0066cc,第2層
167,183,30,#0066cc,第2層
167,184,91,#0066cc,第2層
167,192,11,#0066cc,第2層
167,193,17,#0066cc,第2層
167,195,1,#0066cc,第2層
167,196,36,#0066cc,第2層
167,198,11,#0066cc,第2層
167,200,1,#0066cc,第2層
167,201,4,#0066cc,第2層
167,202,1,#0066cc,第2層
167,204,1,#0066cc,第2層
167,209,2,#0066cc,第2層
167,211,1,#0066cc,第2層
167,219,1,#0066cc,第2層
167,221,4,#0066cc,第2層
167,223,67,#0066cc,第2層
167,224,19,#0066cc,第2層
167,226,90,#0066cc,第2層
167,235,1,#0066cc,第2層
167,239,3,#0066cc,第2層
167,244,1,#0066cc,第2層
167,246,1,#0066cc,第2層
167,247,1,#0066cc,第2層
167,248,25,#0066cc,第2層
167,250,7,#0066cc,第2層
167,251,1,#0066cc,第2層
167,253,44,#0066cc,第2層
167,254,1,#0066cc,第2層
167,264,1,#0066cc,第2層
167,266,1,#0066cc,第2層
167,276,4,#0066cc,第2層
167,279,3,#0066cc,第2層
167,281,1,#0066cc,第2層
167,282,1,#0066cc,第2層
167,283,1,#0066cc,第2層
167,284,5,#0066cc,第2層
167,286,3,#0066cc,第2層
167,288,1,#0066cc,第2層
167,290,1,#0066cc,第2層
167,294,1,#0066cc,第2層
167,295,2,#0066cc,第2層
167,296,5,#0066cc,第2層
167,297,8,#0066cc,第2層
167,298,6,#0066cc,第2層
167,299,53,#0066cc,第2層
167,300,80,#0066cc,第2層
167,301,1,#0066cc,第2層
167,302,3,#0066cc,第2層
167,304,1,#0066cc,第2層
167,307,6,#0066cc,第2層
167,309,5,#0066cc,第2層
167,311,84,#0066cc,第2層
167,314,1,#0066cc,第2層
167,318,1,#0066cc,第2層
167,319,1,#0066cc,第2層
167,322,1,#0066cc,第2層
167,323,1,#0066cc,第2層
167,324,1,#0066cc,第2層
167,326,10,#0066cc,第2層
167,327,2,#0066cc,第2層
167,329,4,#0066cc,第2層
167,333,1,#0066cc,第2層
167,334,28,#0066cc,第2層
167,336,1,#0066cc,第2層
167,337,5,#0066cc,第2層
167,353,3,#0066cc,第2層
167,354,13,#0066cc,第2層
167,357,2,#0066cc,第2層
167,361,1,#0066cc,第2層
167,365,2,#0066cc,第2層
167,373,2,#0066cc,第2層
167,374,1,#0066cc,第2層
167,383,12,#0066cc,第2層
167,385,2,#0066cc,第2層
17,168,570,#699c4c,第1層
168,175,3,#0066cc,第2層
168,176,37,#0066cc,第2層
168,177,51,#0066cc,第2層
168,178,399,#0066cc,第2層
168,179,84,#0066cc,第2層
168,180,1,#0066cc,第2層
168,181,4,#0066cc,第2層
168,182,67,#0066cc,第2層
168,183,293,#0066cc,第2層
168,184,574,#0066cc,第2層
168,189,2,#0066cc,第2層
168,191,7,#0066cc,第2層
168,192,94,#0066cc,第2層
168,193,128,#0066cc,第2層
168,194,4,#0066cc,第2層
168,195,17,#0066cc,第2層
168,196,258,#0066cc,第2層
168,198,29,#0066cc,第2層
168,200,3,#0066cc,第2層
168,201,4,#0066cc,第2層
168,202,1,#0066cc,第2層
168,204,9,#0066cc,第2層
168,207,1,#0066cc,第2層
168,208,1,#0066cc,第2層
168,209,7,#0066cc,第2層
168,211,7,#0066cc,第2層
168,221,2,#0066cc,第2層
168,223,471,#0066cc,第2層
168,224,98,#0066cc,第2層
168,226,573,#0066cc,第2層
168,233,5,#0066cc,第2層
168,235,1,#0066cc,第2層
168,236,1,#0066cc,第2層
168,239,4,#0066cc,第2層
168,244,3,#0066cc,第2層
168,246,5,#0066cc,第2層
168,247,6,#0066cc,第2層
168,248,181,#0066cc,第2層
168,249,3,#0066cc,第2層
168,250,31,#0066cc,第2層
168,252,1,#0066cc,第2層
168,253,321,#0066cc,第2層
